material_no;title;subtitle;body;image;products
011;Tissage;{:en}Turqoise{:}{:fr}Turquoise{:};{:en}10% cotton|12% polyester| 24% linen |54% viscose {:}{:fr}10% coton | 12% polyester | 24% lin | 54% viscose  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-25.jpg;245,281,321,358,398,435,468,501,535,568,603,641,679,712,747,785,824,858,893,931,964,997,1030,1068,1107,1146,1185,1656,1669,1691,1713,1739,1752,1777,1981,2003,2131,2150,2167,2691,2769,3084,3106,3127,3145,3167,3185,3208,3230,3248,3270,3292,3317,3343,3369,3395,3421,3441,3467,3487,3513,3535,3557,3578,3599,3617,3639,3657,3680,3702,3720,3742,3764,3789,3815,3841,3867,3893,3913,3939,3959,3985,4007,4029,4050,4071,4089,4111,4129,4152,4174,4192,4214,4236,4261,4287,4313,4339,4365,4385,4411,4431,4457,4479,4501,4522,4543,4561,4583,4601,4624,4646,4664,4686,4708,4733,4759,4785,4811,4837,4857,4883,4903,4929,4951,4973,4994,5015,5033,5055,5073,5096,5118,5136,5158,5180,5205,5231,5257,5283,5309,5329,5355,5375,5401,5423,5445,5466,5487,5505,5527,5545,5568,5590,5608,5630,5652,5677,5703,5729,5755,5781,5801,5827,5847,5873,5895,5917,5938,5959,5977,5999,6017,6040,6062,6080,6102,6124,6149,6175,6201,6227,6253,6273,6299,6319,6345,6367,6389,6410,6431,6449,6471,6489,6512,6534,6552,6574,6596,6621,6647,6673,6699,6725,6745,6771,6791,6817,6839,6861,6882,6903,6921,6943,6961,6984,7006,7024,7046,7068,7093,7119,7145,7171,7197,7217,7243,7263,7289,7311,7333,7354,7375,7393,7415,7433,7456,7478,7496,7518,7540,7565,7591,7617,7643,7669,7689,7715,7735,7761,7783,7805,8230,8243,8256,8269,8282,8295,8308,8321,8334,8347,8360,8373,8386,8399,8412,8425,8438,9152,9163,9174,9185,9282,9354,9565
012;Velvet;{:en}Deep Blue{:}{:fr}Bleu Marine{:};{:en}89% cotton|11% polyester {:}{:fr}89% coton|11% polyester  {:};https://elementdebase.com/wp-content/uploads/2016/02/large-28.jpg;247,283,324,360,400,437,470,503,537,570,605,643,681,714,749,787,826,860,895,933,967,1000,1032,1070,1109,1148,1187,1655,1668,1690,1712,1738,1751,1776,1980,2002,2130,2149,2166,2690,2768,3085,3107,3128,3146,3168,3186,3209,3231,3249,3271,3293,3318,3344,3370,3396,3422,3442,3468,3488,3514,3536,3558,3579,3600,3618,3640,3658,3681,3703,3721,3743,3765,3790,3816,3842,3868,3894,3914,3940,3960,3986,4008,4030,4051,4072,4090,4112,4130,4153,4175,4193,4215,4237,4262,4288,4314,4340,4366,4386,4412,4432,4458,4480,4502,4523,4544,4562,4584,4602,4625,4647,4665,4687,4709,4734,4760,4786,4812,4838,4858,4884,4904,4930,4952,4974,4995,5016,5034,5056,5074,5097,5119,5137,5159,5181,5206,5232,5258,5284,5310,5330,5356,5376,5402,5424,5446,5467,5488,5506,5528,5546,5569,5591,5609,5631,5653,5678,5704,5730,5756,5782,5802,5828,5848,5874,5896,5918,5939,5960,5978,6000,6018,6041,6063,6081,6103,6125,6150,6176,6202,6228,6254,6274,6300,6320,6346,6368,6390,6411,6432,6450,6472,6490,6513,6535,6553,6575,6597,6622,6648,6674,6700,6726,6746,6772,6792,6818,6840,6862,6883,6904,6922,6944,6962,6985,7007,7025,7047,7069,7094,7120,7146,7172,7198,7218,7244,7264,7290,7312,7334,7355,7376,7394,7416,7434,7457,7479,7497,7519,7541,7566,7592,7618,7644,7670,7690,7716,7736,7762,7784,7806,8229,8242,8255,8268,8281,8294,8307,8320,8333,8346,8359,8372,8385,8398,8411,8424,8437,9059,9076,9151,9162,9173,9184,9281,9353,9564,9760
013;n/a;n/a;n/a;n/a;n/a
014;{:en}FLEECE GREY 014{:}{:fr}FLEECE GRIS 014{:};;{:en}100% Polyester{:}{:fr}100% Polyester{:};https://elementdebase.com/wp-content/uploads/2016/08/64e9d0d2-5b11-11e6-9174-9d9ce365148e.jpg;1723,9280,9290,9291,9613
015;{:en}VELVET GREY 015{:}{:fr}VELVET GRIS 015{:};;{:en}90% cotton|10% polyester{:}{:fr}90% coton|10% polyester{:};https://elementdebase.com/wp-content/uploads/2016/08/0c5249ee-63e1-11e6-8551-20df0da7dfd2.jpg;1721,9382,9742
016;velvet;{:en}Pink{:}{:fr}Rose{:};{:fr}89% coton|11% polyester {:}{:en}89% cotton|11% polyester {:};https://elementdebase.com/wp-content/uploads/2016/09/cpink.jpg;448,1098,1717
017;proof;{:en}Light Grey{:}{:fr}Gris Pâle{:};{:fr}100% polyester {:}{:en}100% polyester {:};https://elementdebase.com/wp-content/uploads/2016/09/cgrey.jpg;1137,1177
018;proof;{:en}Dark Grey{:}{:fr}Gris Foncé{:};{:fr}100% polyester {:}{:en}100% polyester {:};https://elementdebase.com/wp-content/uploads/2016/09/cdarkgrey.jpg;452,1140,1179,1695
019;TWEED;{:en}Charcoal{:}{:fr}Anthracite{:};{:en}80% viscose|20% linen{:}{:fr}80% viscose|20% lin{:};https://elementdebase.com/wp-content/uploads/2016/10/223.jpg;10017,10018,10019
020;VELVET;{:en}red{:}{:fr}rouge{:};{:en}89% cotton|11% polyester{:}{:fr}89% coton|11% polyester{:};https://elementdebase.com/wp-content/uploads/2016/10/224.jpg;9178,9189,10024,10026
021;VELVET;{:en}dark grey{:}{:fr}gris foncé{:};{:en}89% cotton|11% polyester{:}{:fr}89% coton|11% polyester{:};https://elementdebase.com/wp-content/uploads/2016/10/225.jpg;
022;VELVET;{:en}Rust{:}{:fr}Rouille{:};{:en}89% cotton|11% polyester {:}{:fr}89% coton|11% polyester {:};https://elementdebase.com/wp-content/uploads/2016/10/226.jpg;10025,10027
023;FIZZ;{:en}Light Grey{:}{:fr}Gris Pâle{:};{:en}100% polyester {:}{:fr}100% polyester {:};https://elementdebase.com/wp-content/uploads/2016/10/227.jpg;10021,10023
024;FIZZ;{:en}Dark Grey{:}{:fr}Gris Foncé{:};{:en}100% polyester {:}{:fr}100% polyester {:};https://elementdebase.com/wp-content/uploads/2016/10/228.jpg;10022
025;n/a;n/a;n/a;n/a;n/a
026;n/a;n/a;n/a;n/a;n/a
027;n/a;n/a;n/a;n/a;n/a
028;n/a;n/a;n/a;n/a;n/a
029;n/a;n/a;n/a;n/a;n/a
030;n/a;n/a;n/a;n/a;n/a
031;n/a;n/a;n/a;n/a;n/a
032;n/a;n/a;n/a;n/a;n/a
033;n/a;n/a;n/a;n/a;n/a
034;n/a;n/a;n/a;n/a;n/a
035;n/a;n/a;n/a;n/a;n/a
036;n/a;n/a;n/a;n/a;n/a
037;n/a;n/a;n/a;n/a;n/a
038;n/a;n/a;n/a;n/a;n/a
039;n/a;n/a;n/a;n/a;n/a
040;n/a;n/a;n/a;n/a;n/a
041;n/a;n/a;n/a;n/a;n/a
042;n/a;n/a;n/a;n/a;n/a
043;n/a;n/a;n/a;n/a;n/a
044;n/a;n/a;n/a;n/a;n/a
045;n/a;n/a;n/a;n/a;n/a
046;n/a;n/a;n/a;n/a;n/a
047;n/a;n/a;n/a;n/a;n/a
048;n/a;n/a;n/a;n/a;n/a
049;n/a;n/a;n/a;n/a;n/a
050;n/a;n/a;n/a;n/a;n/a
051;;;;;212
052;;;;;203
053;;;;;196
054;;;;;188
055;;;;;180
056;;;;;172
057;;;;;165
058;;;;;156
059;;;;;147
060;n/a;n/a;n/a;n/a;n/a
061;n/a;n/a;n/a;n/a;n/a
062;;;;;139
063;;;;;130,1433
064;;;;;1439,8732,8935
065;n/a;n/a;n/a;n/a;n/a
066;n/a;n/a;n/a;n/a;n/a
067;n/a;n/a;n/a;n/a;n/a
068;n/a;n/a;n/a;n/a;n/a
069;n/a;n/a;n/a;n/a;n/a
070;n/a;n/a;n/a;n/a;n/a
071;n/a;n/a;n/a;n/a;n/a
072;n/a;n/a;n/a;n/a;n/a
073;n/a;n/a;n/a;n/a;n/a
074;n/a;n/a;n/a;n/a;n/a
075;n/a;n/a;n/a;n/a;n/a
076;n/a;n/a;n/a;n/a;n/a
077;n/a;n/a;n/a;n/a;n/a
078;n/a;n/a;n/a;n/a;n/a
079;n/a;n/a;n/a;n/a;n/a
080;n/a;n/a;n/a;n/a;n/a
081;n/a;n/a;n/a;n/a;n/a
082;n/a;n/a;n/a;n/a;n/a
083;n/a;n/a;n/a;n/a;n/a
084;n/a;n/a;n/a;n/a;n/a
085;n/a;n/a;n/a;n/a;n/a
086;n/a;n/a;n/a;n/a;n/a
087;n/a;n/a;n/a;n/a;n/a
088;n/a;n/a;n/a;n/a;n/a
089;n/a;n/a;n/a;n/a;n/a
090;n/a;n/a;n/a;n/a;n/a
091;n/a;n/a;n/a;n/a;n/a
092;n/a;n/a;n/a;n/a;n/a
093;n/a;n/a;n/a;n/a;n/a
094;n/a;n/a;n/a;n/a;n/a
095;n/a;n/a;n/a;n/a;n/a
096;n/a;n/a;n/a;n/a;n/a
097;n/a;n/a;n/a;n/a;n/a
098;n/a;n/a;n/a;n/a;n/a
099;n/a;n/a;n/a;n/a;n/a
100;n/a;n/a;n/a;n/a;n/a
101;;;;;103
102;;;;;97
103;;;;;89
104;;;;;81
105;;;;;73
106;;;;;67
107;;;;;2902
108;;;;;2907
109;;;;;7950
110;;;;;7958
111;n/a;n/a;n/a;n/a;n/a
112;n/a;n/a;n/a;n/a;n/a
113;n/a;n/a;n/a;n/a;n/a
114;n/a;n/a;n/a;n/a;n/a
115;n/a;n/a;n/a;n/a;n/a
116;n/a;n/a;n/a;n/a;n/a
117;n/a;n/a;n/a;n/a;n/a
118;n/a;n/a;n/a;n/a;n/a
119;n/a;n/a;n/a;n/a;n/a
